year,race_name,circuit,driver,team,finish_pos,status,start_grid,fp1_time,fp2_time,fp3_time,quali_pos,q1,q2,q3,pit_count,pit_time_total,avg_temp,avg_rain,overtakes,penalties,sc_count,vsc_count,red_flag_count,hist_avg_finish
2018,Chinese Grand Prix,Shanghai International Circuit,LEC,Sauber,19.0,Finished,19.0,96.723,95.916,95.497,19.0,0 days 00:01:34.454000,,,,,19.446428571428573,0.017857142857142856,6,0,2,0,1,12.5
2018,Chinese Grand Prix,Shanghai International Circuit,HAR,Toro Rosso,20.0,Collision damage,15.0,96.715,95.333,94.991,15.0,0 days 00:01:34.013000,0 days 00:01:33.795000,,,,19.446428571428573,0.017857142857142856,3,0,2,0,1,16.0
2018,Azerbaijan Grand Prix,Baku City Circuit,HAM,Mercedes,1.0,Finished,2.0,105.2,103.603,103.452,2.0,0 days 00:01:42.693000,0 days 00:01:42.676000,0 days 00:01:41.677000,,,16.66140350877193,0.0,3,0,8,0,1,3.5
2018,Azerbaijan Grand Prix,Baku City Circuit,RAI,Ferrari,2.0,Finished,6.0,106.861,102.864,103.493,6.0,0 days 00:01:42.538000,0 days 00:01:42.510000,0 days 00:01:42.490000,,,16.66140350877193,0.0,9,0,8,0,1,10.5
2018,Azerbaijan Grand Prix,Baku City Circuit,PER,Force India,3.0,Finished,8.0,105.075,104.142,103.936,8.0,0 days 00:01:43.992000,0 days 00:01:43.366000,0 days 00:01:42.547000,,,16.66140350877193,0.0,10,1,8,0,1,14.0
2018,Azerbaijan Grand Prix,Baku City Circuit,VET,Ferrari,4.0,Finished,1.0,106.513,104.127,103.091,1.0,0 days 00:01:42.762000,0 days 00:01:43.015000,0 days 00:01:41.498000,,,16.66140350877193,0.0,1,0,8,0,1,4.5
2018,Azerbaijan Grand Prix,Baku City Circuit,SAI,Renault,5.0,Finished,9.0,108.741,103.834,105.432,10.0,0 days 00:01:43.426000,0 days 00:01:43.464000,0 days 00:01:43.351000,,,16.66140350877193,0.0,12,0,8,0,1,10.0
2018,Azerbaijan Grand Prix,Baku City Circuit,LEC,Sauber,6.0,Finished,13.0,106.875,104.94,105.218,14.0,0 days 00:01:43.752000,0 days 00:01:44.074000,,,,16.66140350877193,0.0,11,0,8,0,1,15.5
2018,Azerbaijan Grand Prix,Baku City Circuit,ALO,McLaren,7.0,Finished,12.0,106.465,103.7,104.763,13.0,0 days 00:01:44.010000,0 days 00:01:44.019000,,,,16.66140350877193,0.0,13,0,8,0,1,7.0
2018,Azerbaijan Grand Prix,Baku City Circuit,STR,Williams,8.0,Finished,10.0,106.59,104.459,104.123,11.0,0 days 00:01:44.359000,0 days 00:01:43.585000,,,,16.66140350877193,0.0,10,0,8,0,1,14.0
2018,Azerbaijan Grand Prix,Baku City Circuit,VAN,McLaren,9.0,Finished,16.0,107.967,105.288,105.505,16.0,0 days 00:01:44.489000,,,,,16.66140350877193,0.0,10,0,8,0,1,10.5
2018,Azerbaijan Grand Prix,Baku City Circuit,HAR,Toro Rosso,10.0,Finished,19.0,106.747,105.051,106.186,19.0,0 days 00:01:57.354000,,,,,16.66140350877193,0.0,8,0,8,0,1,18.5
2018,Azerbaijan Grand Prix,Baku City Circuit,ERI,Sauber,11.0,Finished,18.0,107.073,106.042,105.91,18.0,0 days 00:01:45.541000,,,,,16.66140350877193,0.0,8,1,8,0,1,12.5
2018,Azerbaijan Grand Prix,Baku City Circuit,GAS,Toro Rosso,12.0,Finished,17.0,106.492,104.712,104.905,17.0,0 days 00:01:44.496000,,,,,16.66140350877193,0.0,8,0,8,0,1,11.0
2018,Azerbaijan Grand Prix,Baku City Circuit,MAG,Haas F1 Team,13.0,Finished,15.0,107.434,103.977,103.958,15.0,0 days 00:01:43.674000,0 days 00:01:44.759000,,,,16.66140350877193,0.0,7,0,8,0,1,7.5
2018,Azerbaijan Grand Prix,Baku City Circuit,BOT,Mercedes,14.0,Puncture,3.0,104.242,103.57,103.569,3.0,0 days 00:01:43.355000,0 days 00:01:42.679000,0 days 00:01:41.837000,,,16.66140350877193,0.0,3,0,8,0,1,2.0
2018,Azerbaijan Grand Prix,Baku City Circuit,GRO,Haas F1 Team,15.0,Accident,20.0,106.856,104.425,105.261,20.0,,,,,,16.66140350877193,0.0,10,0,8,0,1,15.0
2018,Azerbaijan Grand Prix,Baku City Circuit,VER,Red Bull Racing,16.0,Collision,5.0,105.559,102.911,103.519,5.0,0 days 00:01:42.642000,0 days 00:01:42.901000,0 days 00:01:41.994000,,,16.66140350877193,0.0,5,1,8,0,1,12.0
2018,Azerbaijan Grand Prix,Baku City Circuit,RIC,Red Bull Racing,17.0,Collision,4.0,104.277,102.795,104.861,4.0,0 days 00:01:42.857000,0 days 00:01:43.482000,0 days 00:01:41.911000,,,16.66140350877193,0.0,4,0,8,0,1,10.5
2018,Azerbaijan Grand Prix,Baku City Circuit,HUL,Renault,18.0,Accident,14.0,106.749,104.091,105.456,9.0,0 days 00:01:43.746000,0 days 00:01:43.232000,0 days 00:01:43.066000,,,16.66140350877193,0.0,3,0,8,0,1,6.0
2018,Azerbaijan Grand Prix,Baku City Circuit,OCO,Force India,19.0,Collision,7.0,105.237,103.814,104.22,7.0,0 days 00:01:43.021000,0 days 00:01:42.967000,0 days 00:01:42.523000,,,16.66140350877193,0.0,0,0,8,0,1,10.5
2018,Azerbaijan Grand Prix,Baku City Circuit,SIR,Williams,20.0,Collision,11.0,106.48,105.007,104.534,12.0,0 days 00:01:44.261000,0 days 00:01:43.886000,,,,16.66140350877193,0.0,0,0,8,0,1,15.0
2018,Spanish Grand Prix,Circuit de Barcelona-Catalunya,HAM,Mercedes,1.0,Finished,1.0,78.997,78.259,77.281,1.0,0 days 00:01:17.633000,0 days 00:01:17.166000,0 days 00:01:16.173000,,,16.050476190476193,0.7904761904761904,1,0,4,2,1,2.5
